,Date,ET(mm/day)
0,2022-01-03,4.316867185592651
1,2022-01-19,26.192692794799804
2,2022-01-31,2.676329732894897
3,2022-02-04,3.2291247768402096
4,2022-02-12,7.264447002410888
5,2022-02-18,5.390682735443114
6,2022-03-06,7.682302253723144
7,2022-03-10,26.46558554077148
8,2022-03-26,5.792007556915283
9,2022-03-26,5.6996850013732905
10,2022-04-03,3.765001316070556
11,2022-04-11,3.6793564453124996
12,2022-04-13,3.332083488464355
13,2022-04-18,14.381104980468749
14,2022-04-21,3.2254605216979977
15,2022-04-24,2.2652242412567136
16,2022-05-02,4.438388946533203
17,2022-05-10,13.193409759521483
18,2022-05-22,2.55409287071228
19,2022-05-30,2.552067512512207
20,2022-06-09,4.404926565170288
21,2022-06-18,85.4136157836914
22,2022-07-10,19.10715019226074
23,2022-07-23,10.29811408996582
24,2022-08-09,36.884056091308594
25,2022-08-11,7.439245822906494
26,2022-08-17,12.553478324890136
27,2022-09-29,10.695714683532714
28,2022-10-03,10.861449279785155
29,2022-10-28,6.994407131195068
30,2022-11-01,6.977030090332031
31,2022-11-05,8.452680095672607
